Version Size Threads Time
Parallel 1000 128 0.000101
Parallel 1000 144 0.000167
Parallel 1000 144 0.000104
Parallel 1000 144 0.000105
Parallel 1000 144 0.000112
Parallel 1000 144 0.000102
Parallel 1000 144 0.000105
Parallel 1000 144 0.000104
Parallel 1000 144 0.000104
Parallel 1000 144 0.000098
Parallel 1000 144 0.000098
Parallel 1000 192 0.000106
Parallel 1000 192 0.000107
Parallel 1000 192 0.000103
Parallel 1000 192 0.000103
Parallel 1000 192 0.000118
Parallel 1000 192 0.000107
Parallel 1000 192 0.000106
Parallel 1000 192 0.000108
Parallel 1000 192 0.000105
Parallel 1000 192 0.000103
Parallel 10000 2 0.001030
Parallel 10000 2 0.001009
Parallel 10000 2 0.001013
Parallel 10000 2 0.001035
Parallel 10000 2 0.001024
Parallel 10000 2 0.001012
Parallel 10000 2 0.001021
Parallel 10000 2 0.001009
Parallel 10000 2 0.001008
Parallel 10000 2 0.001012
Parallel 10000 4 0.001012
Parallel 10000 4 0.001012
Parallel 10000 4 0.001011
Parallel 10000 4 0.001006
Parallel 10000 4 0.001010
Parallel 10000 4 0.001011
Parallel 10000 4 0.001091
Parallel 10000 4 0.001023
Parallel 10000 4 0.001011
Parallel 10000 4 0.001010
Parallel 10000 8 0.001027
Parallel 10000 8 0.001006
Parallel 10000 8 0.001023
Parallel 10000 8 0.001022
Parallel 10000 8 0.001010
Parallel 10000 8 0.001012
Parallel 10000 8 0.001012
Parallel 10000 8 0.001007
Parallel 10000 8 0.001009
Parallel 10000 8 0.001011
Parallel 10000 16 0.001031
Parallel 10000 16 0.001027
Parallel 10000 16 0.001037
Parallel 10000 16 0.001031
Parallel 10000 16 0.001013
Parallel 10000 16 0.001015
Parallel 10000 16 0.001014
Parallel 10000 16 0.001019
Parallel 10000 16 0.001007
Parallel 10000 16 0.001019
Parallel 10000 32 0.001038
Parallel 10000 32 0.001015
Parallel 10000 32 0.001032
Parallel 10000 32 0.001019
Parallel 10000 32 0.001019
Parallel 10000 32 0.001017
Parallel 10000 32 0.001020
Parallel 10000 32 0.001020
Parallel 10000 32 0.001019
Parallel 10000 32 0.001017
Parallel 10000 48 0.001031
Parallel 10000 48 0.001027
Parallel 10000 48 0.001047
Parallel 10000 48 0.001030
Parallel 10000 48 0.001037
Parallel 10000 48 0.001024
Parallel 10000 48 0.001030
Parallel 10000 48 0.001023
Parallel 10000 48 0.001023
Parallel 10000 48 0.001021
Parallel 10000 64 0.001022
Parallel 10000 64 0.001023
Parallel 10000 64 0.001023
Parallel 10000 64 0.001020
Parallel 10000 64 0.001025
Parallel 10000 64 0.001017
Parallel 10000 64 0.001042
Parallel 10000 64 0.001019
Parallel 10000 64 0.001031
Parallel 10000 64 0.001020
Parallel 10000 96 0.001042
Parallel 10000 96 0.001021
Parallel 10000 96 0.001060
Parallel 10000 96 0.001025
Parallel 10000 96 0.001033
Parallel 10000 96 0.001037
Parallel 10000 96 0.001054
Parallel 10000 96 0.001037
Parallel 10000 96 0.001031
Parallel 10000 96 0.001034
Parallel 10000 128 0.001033
Parallel 10000 128 0.001032
Parallel 10000 128 0.001013
Parallel 10000 128 0.001032
Parallel 10000 128 0.001047
Parallel 10000 128 0.001050
Parallel 10000 128 0.001032
Parallel 10000 128 0.001031
Parallel 10000 128 0.001045
Parallel 10000 128 0.001046
Parallel 10000 144 0.001036
Parallel 10000 144 0.001034
Parallel 10000 144 0.001035
Parallel 10000 144 0.001036
Parallel 10000 144 0.001025
Parallel 10000 144 0.001023
Parallel 10000 144 0.001014
Parallel 10000 144 0.001036
Parallel 10000 144 0.001034
Parallel 10000 144 0.001041
Parallel 10000 192 0.001037
Parallel 10000 192 0.001034
Parallel 10000 192 0.001057
Parallel 10000 192 0.001035
Parallel 10000 192 0.001026
Parallel 10000 192 0.001048
Parallel 10000 192 0.001041
Parallel 10000 192 0.001024
Parallel 10000 192 0.001043
Parallel 10000 192 0.001059
Parallel 100000 2 0.010981
Parallel 100000 2 0.010936
Parallel 100000 2 0.010934
Parallel 100000 2 0.010917
Parallel 100000 2 0.010921
Parallel 100000 2 0.010921
Parallel 100000 2 0.010910
Parallel 100000 2 0.010905
Parallel 100000 2 0.010925
Parallel 100000 2 0.010917
Parallel 100000 4 0.005368
Parallel 100000 4 0.005334
Parallel 100000 4 0.005345
Parallel 100000 4 0.005321
Parallel 100000 4 0.005342
Parallel 100000 4 0.005341
Parallel 100000 4 0.005218
Parallel 100000 4 0.005214
Parallel 100000 4 0.005222
Parallel 100000 4 0.005251
Parallel 100000 8 0.003113
Parallel 100000 8 0.002947
Parallel 100000 8 0.003104
Parallel 100000 8 0.002927
Parallel 100000 8 0.002937
Parallel 100000 8 0.002947
Parallel 100000 8 0.002936
Parallel 100000 8 0.003096
Parallel 100000 8 0.003078
Parallel 100000 8 0.002919
Parallel 100000 16 0.002290
Parallel 100000 16 0.002289
Parallel 100000 16 0.002285
Parallel 100000 16 0.002286
Parallel 100000 16 0.002285
Parallel 100000 16 0.002289
Parallel 100000 16 0.002353
Parallel 100000 16 0.002292
Parallel 100000 16 0.002260
Parallel 100000 16 0.002297
Parallel 100000 32 0.002511
Parallel 100000 32 0.002367
Parallel 100000 32 0.002348
Parallel 100000 32 0.002317
Parallel 100000 32 0.002479
Parallel 100000 32 0.002441
Parallel 100000 32 0.002377
Parallel 100000 32 0.002397
Parallel 100000 32 0.002347
Parallel 100000 32 0.002346
Parallel 100000 48 0.002668
Parallel 100000 48 0.002468
Parallel 100000 48 0.002511
Parallel 100000 48 0.002507
Parallel 100000 48 0.002669
Parallel 100000 48 0.002434
Parallel 100000 48 0.002611
Parallel 100000 48 0.002334
Parallel 100000 48 0.002542
Parallel 100000 48 0.002733
Parallel 100000 64 0.002993
Parallel 100000 64 0.002735
Parallel 100000 64 0.002745
Parallel 100000 64 0.002764
Parallel 100000 64 0.002778
Parallel 100000 64 0.002875
Parallel 100000 64 0.002597
Parallel 100000 64 0.002984
Parallel 100000 64 0.002713
Parallel 100000 64 0.002823
Parallel 100000 96 0.003493
Parallel 100000 96 0.003109
Parallel 100000 96 0.002918
Parallel 100000 96 0.003323
Parallel 100000 96 0.002867
Parallel 100000 96 0.003117
Parallel 100000 96 0.004154
Parallel 100000 96 0.003563
Parallel 100000 96 0.004466
Parallel 100000 96 0.003798
Parallel 100000 128 0.003578
Parallel 100000 128 0.002848
Parallel 100000 128 0.004651
Parallel 100000 128 0.003934
Parallel 100000 128 0.003813
Parallel 100000 128 0.003611
Parallel 100000 128 0.003144
Parallel 100000 128 0.004011
Parallel 100000 128 0.004174
Parallel 100000 128 0.003011
Parallel 100000 144 0.004155
Parallel 100000 144 0.004515
Parallel 100000 144 0.004903
Parallel 100000 144 0.003590
Parallel 100000 144 0.004645
Parallel 100000 144 0.003767
Parallel 100000 144 0.005452
Parallel 100000 144 0.004516
Parallel 100000 144 0.003583
Parallel 100000 144 0.003156
Parallel 100000 192 0.006206
Parallel 100000 192 0.006850
Parallel 100000 192 0.006495
Parallel 100000 192 0.006289
Parallel 100000 192 0.003451
Parallel 100000 192 0.004353
Parallel 100000 192 0.004063
Parallel 100000 192 0.006872
Parallel 100000 192 0.002991
Parallel 100000 192 0.006491
Parallel 1000000 2 0.125645
Parallel 1000000 2 0.125363
Parallel 1000000 2 0.125705
Parallel 1000000 2 0.087407
Parallel 1000000 2 0.087397
Parallel 1000000 2 0.087415
Parallel 1000000 2 0.087601
Parallel 1000000 2 0.087320
Parallel 1000000 2 0.087677
Parallel 1000000 2 0.087357
Parallel 1000000 4 0.059915
Parallel 1000000 4 0.059953
Parallel 1000000 4 0.054405
Parallel 1000000 4 0.054604
Parallel 1000000 4 0.054448
Parallel 1000000 4 0.054581
Parallel 1000000 4 0.054232
Parallel 1000000 4 0.054361
Parallel 1000000 4 0.054642
Parallel 1000000 4 0.054614
Parallel 1000000 8 0.027920
Parallel 1000000 8 0.028624
Parallel 1000000 8 0.027868
Parallel 1000000 8 0.028618
Parallel 1000000 8 0.028609
Parallel 1000000 8 0.028934
Parallel 1000000 8 0.028872
Parallel 1000000 8 0.028569
Parallel 1000000 8 0.034958
Parallel 1000000 8 0.035102
Parallel 1000000 16 0.024151
Parallel 1000000 16 0.024000
Parallel 1000000 16 0.023021
Parallel 1000000 16 0.023412
Parallel 1000000 16 0.023325
Parallel 1000000 16 0.023950
Parallel 1000000 16 0.024190
Parallel 1000000 16 0.024039
Parallel 1000000 16 0.024336
Parallel 1000000 16 0.023769
Parallel 1000000 32 0.019416
Parallel 1000000 32 0.019747
Parallel 1000000 32 0.019834
Parallel 1000000 32 0.021144
Parallel 1000000 32 0.019709
Parallel 1000000 32 0.019711
Parallel 1000000 32 0.019780
Parallel 1000000 32 0.021264
Parallel 1000000 32 0.020329
Parallel 1000000 32 0.018025
Parallel 1000000 48 0.020012
Parallel 1000000 48 0.018591
Parallel 1000000 48 0.018319
Parallel 1000000 48 0.019157
Parallel 1000000 48 0.018774
Parallel 1000000 48 0.018191
Parallel 1000000 48 0.019175
Parallel 1000000 48 0.019301
Parallel 1000000 48 0.018760
Parallel 1000000 48 0.019117
Parallel 1000000 64 0.019899
Parallel 1000000 64 0.019212
Parallel 1000000 64 0.019019
Parallel 1000000 64 0.019226
Parallel 1000000 64 0.022112
Parallel 1000000 64 0.019331
Parallel 1000000 64 0.018920
Parallel 1000000 64 0.018353
Parallel 1000000 64 0.020698
Parallel 1000000 64 0.019250
Parallel 1000000 96 0.026255
Parallel 1000000 96 0.025887
Parallel 1000000 96 0.024114
Parallel 1000000 96 0.025392
Parallel 1000000 96 0.026714
Parallel 1000000 96 0.023031
Parallel 1000000 96 0.028222
Parallel 1000000 96 0.027120
Parallel 1000000 96 0.025179
